,index,0,1,2,3,4
0,fiscalDateEnding,2022-09-30,2021-09-30,2020-09-30,2019-09-30,2018-09-30
1,reportedCurrency,USD,USD,USD,USD,USD
2,totalAssets,352755000000.0,351002000000.0,323888000000.0,338516000000.0,365725000000.0
3,totalCurrentAssets,135405000000.0,134836000000.0,143713000000.0,162819000000.0,131339000000.0
4,cashAndCashEquivalentsAtCarryingValue,23646000000.0,34940000000.0,38016000000.0,48844000000.0,25913000000.0
5,cashAndShortTermInvestments,48304000000.0,62639000000.0,90943000000.0,100557000000.0,25913000000.0
6,inventory,4946000000.0,6580000000.0,4061000000.0,4106000000.0,3956000000.0
7,currentNetReceivables,60932000000.0,51506000000.0,37445000000.0,45804000000.0,48995000000.0
8,totalNonCurrentAssets,217350000000.0,216166000000.0,180175000000.0,175697000000.0,234386000000.0
9,propertyPlantEquipment,42117000000.0,39440000000.0,36766000000.0,37378000000.0,41304000000.0
10,accumulatedDepreciationAmortizationPPE,72340000000.0,70283000000.0,66760000000.0,58579000000.0,49099000000.0
11,investments,292870000000.0,318994000000.0,345644000000.0,362952000000.0,448287000000.0
12,longTermInvestments,120805000000.0,127877000000.0,100887000000.0,105341000000.0,170799000000.0
13,shortTermInvestments,24658000000.0,27699000000.0,52927000000.0,51713000000.0,40388000000.0
14,otherCurrentAssets,21223000000.0,14111000000.0,11264000000.0,12352000000.0,12087000000.0
15,otherNonCurrentAssets,54428000000.0,48849000000.0,42522000000.0,32978000000.0,22283000000.0
16,totalLiabilities,302083000000.0,287912000000.0,258549000000.0,248028000000.0,258578000000.0
17,totalCurrentLiabilities,153982000000.0,125481000000.0,105392000000.0,105718000000.0,115929000000.0
18,currentAccountsPayable,64115000000.0,54763000000.0,42296000000.0,46236000000.0,55888000000.0
19,deferredRevenue,20312000000.0,19512000000.0,16843000000.0,13622000000.0,14766000000.0
20,currentDebt,21239000000.0,15692000000.0,13793000000.0,16240000000.0,20748000000.0
21,shortTermDebt,9982000000.0,6000000000.0,4996000000.0,5980000000.0,11964000000.0
22,totalNonCurrentLiabilities,148101000000.0,162431000000.0,153157000000.0,142310000000.0,142649000000.0
23,capitalLeaseObligations,812000000.0,769000000.0,637000000.0,0.0,0.0
24,longTermDebt,110100000000.0,118700000000.0,125873000000.0,117760000000.0,111984000000.0
25,currentLongTermDebt,11128000000.0,9613000000.0,8773000000.0,10260000000.0,8784000000.0
26,longTermDebtNoncurrent,98959000000.0,109106000000.0,98667000000.0,91807000000.0,93735000000.0
27,shortLongTermDebtTotal,233256000000.0,241783000000.0,216860000000.0,209135000000.0,220132000000.0
28,otherCurrentLiabilities,60845000000.0,47493000000.0,42684000000.0,37720000000.0,33327000000.0
29,otherNonCurrentLiabilities,49142000000.0,53325000000.0,54490000000.0,50503000000.0,48914000000.0
30,totalShareholderEquity,50672000000.0,63090000000.0,65339000000.0,90488000000.0,107147000000.0
31,retainedEarnings,-3068000000.0,5562000000.0,14966000000.0,45898000000.0,70400000000.0
32,commonStock,64849000000.0,57365000000.0,50779000000.0,45174000000.0,40201000000.0
33,commonStockSharesOutstanding,15943425000.0,16426786000.0,16976763000.0,4443236000.0,4754986000.0
