,index,0,1,2,3,4
0,fiscalDateEnding,2022-09-30,2021-09-30,2020-09-30,2019-09-30,2018-09-30
1,reportedCurrency,USD,USD,USD,USD,USD
2,operatingCashflow,122151000000.0,104038000000.0,80674000000.0,69391000000.0,77434000000.0
3,paymentsForOperatingActivities,4665000000.0,4087000000.0,4502000000.0,3423000000.0,3022000000.0
4,changeInOperatingLiabilities,15558000000.0,19801000000.0,6935000000.0,-7248000000.0,47665000000.0
5,changeInOperatingAssets,14358000000.0,24712000000.0,1245000000.0,-3760000000.0,12927000000.0
6,depreciationDepletionAndAmortization,11104000000.0,11284000000.0,11056000000.0,12547000000.0,10903000000.0
7,capitalExpenditures,10708000000.0,11085000000.0,7309000000.0,10495000000.0,13313000000.0
8,changeInReceivables,9343000000.0,14028000000.0,-8470000000.0,-3176000000.0,13332000000.0
9,changeInInventory,-1484000000.0,2642000000.0,127000000.0,289000000.0,-828000000.0
10,profitLoss,99803000000.0,94680000000.0,57411000000.0,55256000000.0,59531000000.0
11,cashflowFromInvestment,-22354000000.0,-14545000000.0,-4289000000.0,45896000000.0,16066000000.0
12,cashflowFromFinancing,-110749000000.0,-93353000000.0,-86820000000.0,-90976000000.0,-87876000000.0
13,proceedsFromRepaymentsOfShortTermDebt,7910000000.0,2044000000.0,-1926000000.0,-11954000000.0,-74000000.0
14,paymentsForRepurchaseOfCommonStock,89402000000.0,85971000000.0,72358000000.0,66897000000.0,72738000000.0
15,paymentsForRepurchaseOfEquity,89402000000.0,85971000000.0,72358000000.0,66897000000.0,72738000000.0
16,dividendPayout,14841000000.0,14467000000.0,14081000000.0,14119000000.0,13712000000.0
17,dividendPayoutCommonStock,14841000000.0,14467000000.0,14081000000.0,14119000000.0,13712000000.0
18,proceedsFromIssuanceOfCommonStock,0.0,1105000000.0,880000000.0,781000000.0,669000000.0
19,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,5465000000.0,20393000000.0,16091000000.0,6963000000.0,6969000000.0
20,proceedsFromRepurchaseOfEquity,-89402000000.0,-84866000000.0,-71478000000.0,-66116000000.0,-72069000000.0
21,changeInCashAndCashEquivalents,-10952000000.0,-3860000000.0,-10435000000.0,24311000000.0,5624000000.0
22,netIncome,99803000000.0,94680000000.0,57411000000.0,55256000000.0,59531000000.0
