,index,0,1,2,3,4
0,fiscalDateEnding,2022-09-30,2021-09-30,2020-09-30,2019-09-30,2018-09-30
1,reportedCurrency,USD,USD,USD,USD,USD
2,grossProfit,170782000000.0,152836000000.0,104956000000.0,98392000000.0,101839000000.0
3,totalRevenue,391397000000.0,363172000000.0,271642000000.0,256598000000.0,265595000000.0
4,costOfRevenue,248640000000.0,234954000000.0,189475000000.0,180027000000.0,163756000000.0
5,costofGoodsAndServicesSold,223546000000.0,212981000000.0,169559000000.0,161782000000.0,163756000000.0
6,operatingIncome,119437000000.0,108949000000.0,66288000000.0,63930000000.0,70898000000.0
7,sellingGeneralAndAdministrative,25094000000.0,21973000000.0,19916000000.0,18245000000.0,16705000000.0
8,researchAndDevelopment,26251000000.0,21914000000.0,18752000000.0,16217000000.0,14236000000.0
9,operatingExpenses,51345000000.0,43887000000.0,38668000000.0,34462000000.0,30941000000.0
10,investmentIncomeNet,2825000000.0,2843000000.0,3763000000.0,4961000000.0,5686000000.0
11,netInterestIncome,-2931000000.0,-2645000000.0,-2873000000.0,-3576000000.0,-3240000000.0
12,interestIncome,106000000.0,2843000000.0,3763000000.0,4961000000.0,5686000000.0
13,interestExpense,2931000000.0,2645000000.0,2873000000.0,3576000000.0,3240000000.0
14,nonInterestIncome,394328000000.0,365817000000.0,274515000000.0,260174000000.0,265595000000.0
15,otherNonOperatingIncome,-228000000.0,60000000.0,-87000000.0,422000000.0,-441000000.0
16,depreciation,8700000000.0,9500000000.0,9700000000.0,11300000000.0,9300000000.0
17,depreciationAndAmortization,11104000000.0,11284000000.0,11056000000.0,12547000000.0,10903000000.0
18,incomeBeforeTax,119103000000.0,109207000000.0,67091000000.0,65737000000.0,72903000000.0
19,incomeTaxExpense,19300000000.0,14527000000.0,9680000000.0,10481000000.0,13372000000.0
20,interestAndDebtExpense,2931000000.0,2645000000.0,2873000000.0,3576000000.0,3240000000.0
21,netIncomeFromContinuingOperations,99803000000.0,94680000000.0,57411000000.0,55256000000.0,59531000000.0
22,comprehensiveIncomeNetOfTax,88531000000.0,95249000000.0,57453000000.0,58037000000.0,56505000000.0
23,ebit,122034000000.0,111852000000.0,69964000000.0,69313000000.0,76143000000.0
24,ebitda,133138000000.0,123136000000.0,81020000000.0,81860000000.0,87046000000.0
25,netIncome,99803000000.0,94680000000.0,57411000000.0,55256000000.0,59531000000.0
