,index,0,1,2,3,4
0,fiscalDateEnding,2022-12-31,2021-12-31,2020-12-31,2019-12-31,2018-12-31
1,reportedCurrency,USD,USD,USD,USD,USD
2,grossProfit,20853000000.0,13606000000.0,6630000000.0,4069000000.0,4042000000.0
3,totalRevenue,81462000000.0,53823000000.0,31536000000.0,24578000000.0,21461000000.0
4,costOfRevenue,60609000000.0,40217000000.0,24906000000.0,20509000000.0,17419000000.0
5,costofGoodsAndServicesSold,604000000.0,374000000.0,289000000.0,193000000.0,85272000.0
6,operatingIncome,13656000000.0,6523000000.0,1994000000.0,-69000000.0,-388000000.0
7,sellingGeneralAndAdministrative,3946000000.0,4517000000.0,3145000000.0,2646000000.0,2835000000.0
8,researchAndDevelopment,3075000000.0,2593000000.0,1491000000.0,1343000000.0,1460000000.0
9,operatingExpenses,7197000000.0,7083000000.0,4636000000.0,4138000000.0,4430000000.0
10,investmentIncomeNet,297000000.0,56000000.0,30000000.0,44000000.0,24533000.0
11,netInterestIncome,-191000000.0,-371000000.0,-748000000.0,-685000000.0,-663071000.0
12,interestIncome,41000000.0,56000000.0,30000000.0,44000000.0,-71000.0
13,interestExpense,191000000.0,371000000.0,748000000.0,685000000.0,663000000.0
14,nonInterestIncome,-81000000.0,-55000000.0,-336000000.0,-98000000.0,22184879000.0
15,otherNonOperatingIncome,-43000000.0,135000000.0,-122000000.0,45000000.0,22000000.0
16,depreciation,2420000000.0,1910000000.0,1570000000.0,1370000000.0,1110000000.0
17,depreciationAndAmortization,493000000.0,466000000.0,399000000.0,343000000.0,66000000.0
18,incomeBeforeTax,13688000000.0,6218000000.0,1013000000.0,-752000000.0,-918000000.0
19,incomeTaxExpense,1132000000.0,699000000.0,292000000.0,110000000.0,58000000.0
20,interestAndDebtExpense,191000000.0,371000000.0,853000000.0,685000000.0,663071000.0
21,netIncomeFromContinuingOperations,12587000000.0,5644000000.0,862000000.0,-775000000.0,-1062582000.0
22,comprehensiveIncomeNetOfTax,12141000000.0,5210000000.0,1120000000.0,-890000000.0,-1018000000.0
23,ebit,13879000000.0,6589000000.0,1761000000.0,-67000000.0,-255000000.0
24,ebitda,14372000000.0,7055000000.0,2160000000.0,276000000.0,-189000000.0
25,netIncome,12556000000.0,5519000000.0,721000000.0,-862000000.0,-976000000.0
